month,total_deposits_mln_PLN,total_overnight_deposits_mln_PLN,total_term_deposits_mln_PLN,total_accrued_interest_on_deposits_mln_PLN
12/1996,"82,856.2","22,499.3","60,356.8","4,240.2"
01/1997,"84,085.0","21,745.9","62,339.2","4,266.6"
02/1997,"86,229.2","22,070.4","64,158.8","4,495.4"
03/1997,"88,546.5","23,269.9","65,276.6","4,436.1"
04/1997,"90,512.6","23,650.2","66,862.4","4,599.8"
05/1997,"92,759.0","24,531.5","68,227.5","4,866.3"
06/1997,"95,310.1","25,562.6","69,747.5","4,803.4"
07/1997,"98,589.4","26,570.7","72,018.7","5,003.5"
08/1997,"100,423.3","26,736.5","73,686.8","5,261.5"
09/1997,"101,450.8","26,737.0","74,713.8","5,161.7"
10/1997,"103,362.5","26,709.7","76,652.8","5,354.3"
11/1997,"104,545.2","26,254.5","78,290.7","5,690.1"
12/1997,"108,466.4","28,101.9","80,364.5","5,188.1"
01/1998,"110,486.1","27,270.5","83,215.5","5,362.6"
02/1998,"113,062.6","27,886.0","85,176.6","5,624.4"
03/1998,"114,904.6","28,261.2","86,643.4","5,571.3"
04/1998,"116,596.5","28,229.5","88,367.0","5,757.7"
05/1998,"119,427.9","28,862.1","90,565.8","6,130.6"
06/1998,"122,550.6","29,854.1","92,696.5","5,968.0"
07/1998,"125,706.8","30,164.4","95,542.4","6,099.8"
08/1998,"130,392.9","30,824.0","99,568.9","6,398.2"
09/1998,"132,042.2","30,858.3","101,183.8","6,231.9"
10/1998,"132,906.9","30,700.8","102,206.2","6,426.7"
11/1998,"134,963.0","30,587.2","104,375.8","6,644.4"
12/1998,"141,247.5","33,666.2","107,581.3","5,942.6"
01/1999,"144,643.7","33,322.1","111,321.6","5,941.3"
02/1999,"148,326.8","34,646.2","113,680.6","5,824.7"
03/1999,"150,672.4","36,404.2","114,268.2","5,445.7"
04/1999,"151,058.7","36,773.6","114,285.1","5,266.4"
05/1999,"152,023.3","37,476.3","114,547.0","5,330.7"
06/1999,"153,502.6","38,832.0","114,670.6","5,070.9"
07/1999,"155,290.9","39,863.2","115,427.8","4,954.8"
08/1999,"156,974.0","40,117.7","116,856.2","5,035.8"
09/1999,"159,412.3","40,496.5","118,915.8","4,945.4"
10/1999,"161,121.3","40,787.1","120,334.2","5,058.8"
11/1999,"162,031.7","40,971.1","121,060.6","5,167.4"
12/1999,"162,664.9","40,367.1","122,297.8","4,831.3"
01/2000,"167,011.6","39,595.6","127,416.1","4,945.3"
02/2000,"169,357.8","39,630.2","129,727.6","5,155.4"
03/2000,"171,250.0","39,683.7","131,566.4","5,249.5"
04/2000,"174,957.1","40,457.1","134,500.0","5,427.2"
05/2000,"176,484.0","40,287.5","136,196.5","5,709.3"
06/2000,"180,867.1","42,992.0","137,875.1","5,688.1"
07/2000,"181,301.4","41,105.7","140,195.6","5,755.8"
08/2000,"182,972.9","40,855.8","142,117.1","5,955.9"
09/2000,"185,806.4","40,681.7","145,124.7","5,973.6"
10/2000,"190,127.6","40,367.2","149,760.4","6,163.0"
11/2000,"192,175.1","40,233.8","151,941.3","6,448.3"
12/2000,"194,972.9","40,976.0","153,996.8","6,200.6"
01/2001,"198,693.0","40,337.8","158,355.1","6,145.7"
02/2001,"202,227.6","40,511.0","161,716.6","6,279.5"
03/2001,"204,986.3","40,731.5","164,254.9","6,330.0"
04/2001,"205,423.9","40,958.2","164,465.8","6,246.3"
05/2001,"207,315.7","41,221.7","166,094.0","6,323.7"
06/2001,"209,867.9","42,029.6","167,838.2","6,196.9"
07/2001,"215,221.5","44,344.2","170,877.3","6,045.1"
08/2001,"217,632.3","44,887.9","172,744.3","6,015.1"
09/2001,"218,740.6","45,915.9","172,824.7","5,788.9"
10/2001,"218,556.3","45,311.0","173,245.3","5,659.9"
11/2001,"216,050.7","41,329.4","174,721.3","5,213.5"
12/2001,"219,531.6","45,497.7","174,033.9","4,923.2"
01/2002,"221,405.1","45,161.0","176,244.1","4,820.2"
02/2002,"222,462.5","46,988.3","175,474.2","4,554.3"
03/2002,"222,938.9","47,773.3","175,165.6","4,593.5"
04/2002,"220,839.5","47,392.8","173,446.7","4,657.1"
05/2002,"221,671.7","49,150.9","172,520.8","4,443.3"
06/2002,"221,677.3","49,846.7","171,830.6","4,455.0"
07/2002,"222,360.6","50,905.8","171,454.8","4,476.9"
08/2002,"221,609.8","51,276.2","170,333.7","4,429.4"
09/2002,"219,467.1","50,779.9","168,687.2","4,445.1"
10/2002,"217,737.9","50,648.2","167,089.7","4,513.3"
11/2002,"214,499.5","53,172.2","161,327.3","3,707.3"
12/2002,"213,399.0","54,075.0","159,324.0","3,545.9"
01/2003,"212,176.5","52,971.6","159,204.9","3,509.3"
02/2003,"213,720.3","54,823.0","158,897.3","3,463.0"
03/2003,"213,497.3","55,095.2","158,402.1","3,461.8"
04/2003,"210,781.4","54,552.6","156,228.8","3,470.6"
05/2003,"209,205.0","55,230.2","153,974.8","3,379.7"
06/2003,"209,158.5","56,708.1","152,450.4","3,280.8"
07/2003,"208,694.5","57,737.8","150,956.6","3,238.9"
08/2003,"208,400.6","58,375.1","150,025.5","3,207.4"
09/2003,"207,866.7","58,494.5","149,372.2","3,187.4"
10/2003,"208,480.6","58,462.6","150,018.0","3,162.2"
11/2003,"208,445.6","61,592.7","146,852.9","2,766.9"
12/2003,"209,926.7","62,042.4","147,884.4","2,688.3"
01/2004,"209,594.3","60,964.3","148,630.0","2,711.2"
02/2004,"211,120.4","62,818.9","148,301.5","2,702.9"
03/2004,"208,887.1","62,692.7","146,194.4","2,720.2"
04/2004,"207,555.3","61,918.6","145,636.7","2,757.8"
05/2004,"205,503.0","61,993.7","143,509.3","2,770.7"
06/2004,"205,150.8","62,761.5","142,389.2","2,752.6"
07/2004,"204,880.4","62,360.1","142,520.3","2,808.6"
08/2004,"205,624.2","62,657.5","142,966.8","2,880.4"
09/2004,"205,247.7","62,941.8","142,305.9","2,945.9"
10/2004,"208,189.2","68,638.8","139,550.4","2,958.6"
11/2004,"203,025.5","63,193.5","139,832.0","2,668.4"
12/2004,"207,176.1","64,716.6","142,459.6","2,666.2"
01/2005,"208,452.5","64,990.5","143,462.0","2,785.0"
02/2005,"210,510.3","68,551.7","141,958.5","2,843.2"
03/2005,"213,610.1","69,950.9","143,659.2","2,910.4"
04/2005,"214,780.2","71,105.0","143,675.3","2,981.4"
05/2005,"213,452.0","72,680.6","140,771.4","2,962.2"
06/2005,"214,304.9","74,157.3","140,147.6","2,952.4"
07/2005,"215,329.9","75,325.6","140,004.3","2,980.0"
08/2005,"215,501.3","76,085.3","139,416.0","2,963.1"
09/2005,"213,793.7","75,741.8","138,051.8","2,949.6"
10/2005,"215,114.6","76,736.0","138,378.6","2,968.9"
11/2005,"214,990.4","79,033.0","135,957.3","2,699.7"
12/2005,"218,383.7","82,718.7","135,665.0","2,452.3"
01/2006,"217,928.4","82,274.0","135,654.4","2,447.5"
02/2006,"218,882.5","84,341.2","134,541.3","2,416.7"
03/2006,"222,063.2","87,474.8","134,588.5","2,393.4"
04/2006,"220,766.4","88,550.7","132,215.7","2,412.8"
05/2006,"221,387.5","90,721.2","130,666.3","2,429.2"
06/2006,"226,260.5","94,000.5","132,259.9","2,436.8"
07/2006,"225,953.5","95,070.3","130,883.2","2,428.5"
08/2006,"227,973.2","96,324.0","131,649.2","2,439.7"
09/2006,"229,592.3","97,714.3","131,878.0","2,444.1"
10/2006,"229,689.0","98,952.0","130,737.0","2,453.0"
11/2006,"228,759.4","101,225.7","127,533.7","2,253.4"
12/2006,"237,149.1","108,471.5","128,677.6","2,214.1"
01/2007,"240,677.7","112,578.0","128,099.7","2,179.4"
02/2007,"243,213.0","116,320.8","126,892.1","2,186.5"
03/2007,"241,732.7","115,907.4","125,825.3","2,182.7"
04/2007,"239,488.5","115,977.4","123,511.1","2,194.1"
05/2007,"236,980.2","116,455.0","120,525.2","2,206.0"
06/2007,"237,461.9","118,396.0","119,065.9","2,195.2"
07/2007,"238,184.5","119,876.0","118,308.5","2,210.3"
08/2007,"243,697.7","123,277.7","120,420.0","2,217.5"
09/2007,"245,095.0","124,699.0","120,395.9","2,207.3"
10/2007,"245,214.8","125,339.3","119,875.5","2,215.2"
11/2007,"250,081.5","129,007.6","121,073.9","2,170.1"
12/2007,"260,643.2","136,658.5","123,984.7","2,158.4"
01/2008,"273,088.3","143,573.1","129,515.3","2,196.9"
02/2008,"278,519.7","143,775.5","134,744.2","2,229.3"
03/2008,"282,511.0","146,331.2","136,179.7","2,282.8"
04/2008,"282,771.0","146,077.6","136,693.4","2,390.6"
05/2008,"284,879.0","148,732.5","136,146.6","2,538.4"
06/2008,"289,587.6","153,119.8","136,467.7","2,624.8"
07/2008,"295,360.7","155,845.7","139,515.0","2,730.4"
08/2008,"299,736.9","155,151.4","144,585.5","2,832.3"
09/2008,"302,183.6","151,714.5","150,469.1","2,919.6"
10/2008,"303,907.3","142,996.3","160,911.0","3,039.5"
11/2008,"311,331.8","140,108.3","171,223.5","3,288.3"
12/2008,"328,363.1","143,364.9","184,998.3","3,552.2"
01/2009,"337,996.7","144,965.5","193,031.2","3,820.0"
02/2009,"347,306.5","150,041.7","197,264.8","4,062.7"
03/2009,"352,118.6","155,023.9","197,094.7","3,754.3"
04/2009,"352,715.1","158,349.6","194,365.6","3,813.8"
05/2009,"354,895.2","160,780.9","194,114.3","3,995.3"
06/2009,"359,149.8","166,863.6","192,286.2","3,904.6"
07/2009,"359,798.5","167,925.6","191,872.9","3,961.5"
08/2009,"359,412.3","170,338.0","189,074.2","4,142.5"
09/2009,"360,513.5","171,712.8","188,800.7","4,170.1"
10/2009,"360,775.4","171,403.0","189,372.4","4,297.0"
11/2009,"363,956.6","173,504.0","190,452.6","4,365.7"
12/2009,"376,878.6","183,365.3","193,513.3","4,247.0"
01/2010,"380,499.2","185,947.5","194,551.7","4,209.9"
02/2010,"385,434.3","189,518.1","195,916.2","4,228.7"
03/2010,"384,533.6","191,270.5","193,263.1","3,954.4"
04/2010,"383,749.2","195,193.2","188,556.0","3,481.5"
05/2010,"387,453.4","200,484.3","186,969.1","3,316.2"
06/2010,"392,017.6","205,063.4","186,954.2","3,123.4"
07/2010,"393,386.1","205,843.6","187,542.5","3,170.0"
08/2010,"395,058.9","207,203.3","187,855.6","3,214.2"
09/2010,"395,315.9","207,425.4","187,890.5","3,139.7"
10/2010,"396,528.7","207,739.6","188,789.1","3,168.5"
11/2010,"400,521.4","209,963.1","190,558.3","3,184.6"
12/2010,"413,072.3","224,264.5","188,807.8","3,142.4"
01/2011,"415,620.5","224,816.6","190,803.9","3,191.1"
02/2011,"421,989.2","229,376.3","192,612.9","3,196.7"
03/2011,"425,138.6","230,188.8","194,949.9","3,074.8"
04/2011,"425,711.3","232,161.9","193,549.4","3,020.5"
05/2011,"423,785.9","229,406.3","194,379.6","2,993.1"
06/2011,"426,893.8","229,659.3","197,234.6","2,902.8"
07/2011,"431,057.7","229,947.5","201,110.2","2,967.9"
08/2011,"436,424.6","228,032.2","208,392.3","3,040.8"
09/2011,"443,424.3","225,491.6","217,932.7","2,966.8"
10/2011,"447,356.4","221,649.7","225,706.7","2,957.8"
11/2011,"454,494.2","224,214.5","230,279.7","2,915.4"
12/2011,"467,772.6","232,434.6","235,338.0","2,870.4"
01/2012,"475,695.4","233,170.2","242,525.2","2,911.9"
02/2012,"477,259.0","232,485.6","244,773.4","2,976.7"
03/2012,"476,444.8","232,691.0","243,753.9","2,952.4"
04/2012,"475,182.6","229,341.5","245,841.1","3,070.9"
05/2012,"477,921.3","230,598.7","247,322.6","3,296.3"
06/2012,"481,942.0","233,447.9","248,494.1","3,441.8"
07/2012,"483,530.4","232,668.5","250,862.0","3,654.3"
08/2012,"487,087.3","231,258.5","255,828.8","3,897.0"
09/2012,"488,157.2","228,687.1","259,470.1","3,991.1"
10/2012,"490,795.1","225,609.0","265,186.1","3,971.1"
11/2012,"494,683.6","225,762.6","268,921.0","4,182.8"
12/2012,"504,186.5","234,101.9","270,084.6","4,376.1"
01/2013,"510,201.7","239,180.7","271,020.9","4,554.3"
02/2013,"516,750.8","245,021.1","271,729.6","4,633.3"
03/2013,"520,562.1","251,878.2","268,683.9","4,566.2"
04/2013,"519,171.9","257,147.7","262,024.3","4,329.4"
05/2013,"517,284.8","260,388.3","256,896.4","4,224.5"
06/2013,"521,418.3","267,250.6","254,167.7","4,014.7"
07/2013,"520,917.3","270,113.0","250,804.3","3,810.9"
08/2013,"523,485.2","272,347.9","251,137.2","3,713.6"
09/2013,"522,749.3","272,258.3","250,491.1","3,560.2"
10/2013,"524,031.1","271,320.5","252,710.6","3,232.5"
11/2013,"526,245.2","271,240.5","255,004.7","3,133.5"
12/2013,"536,465.4","276,522.4","259,943.0","3,088.6"
01/2014,"542,664.8","277,689.4","264,975.4","3,039.8"
02/2014,"548,332.3","279,854.0","268,478.3","3,015.5"
03/2014,"551,193.8","280,400.9","270,792.9","3,019.1"
04/2014,"553,600.6","281,526.4","272,074.2","3,025.6"
05/2014,"553,588.5","280,844.5","272,744.0","3,081.7"
06/2014,"556,538.3","283,245.6","273,292.7","3,131.2"
07/2014,"559,814.7","283,927.7","275,887.0","3,197.6"
08/2014,"563,291.5","284,734.7","278,556.9","3,318.1"
09/2014,"564,629.4","282,478.8","282,150.5","3,409.4"
10/2014,"569,323.2","282,869.7","286,453.4","3,488.5"
11/2014,"574,208.9","286,934.0","287,274.9","3,614.6"
12/2014,"592,446.2","298,282.4","294,163.8","3,686.7"
01/2015,"597,970.7","301,758.9","296,211.8","3,603.3"
02/2015,"604,848.0","307,336.7","297,511.3","3,568.0"
03/2015,"606,507.3","309,239.3","297,268.0","3,516.5"
04/2015,"606,048.7","311,679.1","294,369.6","3,442.8"
05/2015,"608,192.8","314,288.3","293,904.4","3,402.6"
06/2015,"611,955.7","319,061.2","292,894.6","3,280.5"
07/2015,"616,415.4","320,372.1","296,043.2","3,166.9"
08/2015,"621,194.6","323,909.3","297,285.4","3,131.9"
09/2015,"623,968.0","323,033.7","300,934.3","3,085.5"
10/2015,"630,329.1","326,013.8","304,315.4","2,987.2"
11/2015,"635,530.1","330,222.8","305,307.3","2,927.3"
12/2015,"650,755.0","339,117.9","311,637.1","2,930.4"
01/2016,"657,853.1","342,998.0","314,855.1","2,864.4"
02/2016,"663,913.6","346,324.9","317,588.7","2,821.3"
03/2016,"667,813.7","351,753.9","316,059.8","2,761.3"
04/2016,"671,446.3","355,756.4","315,689.9","2,680.8"
05/2016,"674,172.4","360,065.1","314,107.4","2,612.2"
06/2016,"683,225.0","369,055.8","314,169.2","2,558.8"
07/2016,"686,000.6","371,950.2","314,050.4","2,465.6"
08/2016,"686,621.3","374,058.6","312,562.7","2,375.4"
09/2016,"687,828.0","376,409.7","311,418.3","2,291.7"
10/2016,"691,800.7","380,825.9","310,974.8","2,240.4"
11/2016,"703,095.6","390,133.5","312,962.2","2,189.9"
12/2016,"713,855.0","399,945.9","313,909.2","2,179.9"
01/2017,"714,327.4","401,223.6","313,103.8","2,142.8"
02/2017,"720,997.8","409,601.1","311,396.7","2,078.8"
03/2017,"722,887.8","413,287.6","309,600.1","2,039.6"
04/2017,"723,173.3","417,390.6","305,782.7","2,030.7"
05/2017,"719,092.9","418,092.4","301,000.5","2,023.9"
06/2017,"722,614.6","424,940.0","297,674.6","2,002.2"
07/2017,"721,315.7","425,382.3","295,933.4","2,030.0"
08/2017,"723,732.5","428,486.7","295,245.8","2,069.7"
09/2017,"724,792.1","429,938.6","294,853.4","2,089.2"
10/2017,"728,118.3","433,642.0","294,476.4","2,102.7"
11/2017,"733,282.5","439,617.0","293,665.5","2,119.9"
12/2017,"744,026.6","451,134.6","292,891.9","2,131.8"
01/2018,"743,787.5","452,587.7","291,199.9","2,091.8"
02/2018,"752,129.1","461,785.6","290,343.5","2,079.0"
03/2018,"757,336.0","466,827.3","290,508.7","2,101.0"
04/2018,"757,672.9","468,732.4","288,940.5","2,112.2"
05/2018,"763,149.4","473,355.7","289,793.7","2,142.4"
06/2018,"769,749.4","479,655.4","290,094.0","2,126.3"
07/2018,"773,789.7","483,759.4","290,030.3","2,149.7"
08/2018,"778,761.0","488,197.6","290,563.4","2,172.2"
09/2018,"782,705.7","492,821.0","289,884.7","2,156.2"
10/2018,"793,939.9","501,546.8","292,393.1","2,153.2"
11/2018,"803,480.7","511,274.7","292,205.9","2,116.6"
12/2018,"818,907.0","521,028.4","297,878.6","2,135.8"
01/2019,"823,451.3","519,646.8","303,804.5","2,167.3"
02/2019,"836,226.2","530,282.7","305,943.5","2,148.3"
03/2019,"844,046.8","537,466.1","306,580.7","2,155.4"
04/2019,"847,724.5","541,785.5","305,939.0","2,143.4"
05/2019,"853,506.0","548,463.6","305,042.4","2,165.4"
06/2019,"855,912.8","556,219.8","299,693.0","2,155.3"
07/2019,"859,548.6","558,323.2","301,225.4","2,148.4"
08/2019,"867,867.2","568,165.7","299,701.5","2,141.9"
09/2019,"871,096.8","573,167.6","297,929.2","2,124.5"
10/2019,"877,735.1","580,020.0","297,715.2","2,105.5"
11/2019,"887,439.7","589,809.6","297,630.0","2,098.1"
12/2019,"898,100.4","601,413.7","296,686.7","2,096.1"
01/2020,"901,797.1","605,921.7","295,875.4","2,077.8"
02/2020,"911,534.3","617,009.1","294,525.2","2,056.8"
03/2020,"924,616.2","635,278.9","289,337.2","2,015.4"
04/2020,"934,453.0","657,501.2","276,951.9","1,959.9"
05/2020,"950,662.4","684,518.8","266,143.6","1,914.2"
06/2020,"960,674.6","707,220.5","253,454.1","1,817.0"
07/2020,"959,897.8","719,701.5","240,196.2","1,694.1"
08/2020,"958,939.7","728,820.1","230,119.7","1,583.5"
09/2020,"962,303.5","736,531.0","225,772.4","1,462.8"
10/2020,"968,946.4","749,801.3","219,145.1","1,372.3"
11/2020,"970,355.2","757,357.4","212,997.8","1,287.8"
12/2020,"993,783.1","784,468.1","209,315.1","1,186.9"
