month,Wheat_prices_index_MoM,cattle_prices_index_MoM,milk_prices_index_MoM,pigs_price_index_MoM,food_and_beverages_price_index_MoM,alcohol_and_tobacco_products_price_index_MoM,clothes_and_shoes_price_index_MoM,education_goods_and_services_price_index_MoM,communications_goods_and_services_price_index_MoM
01/2000,109.12,101.60,120.35,98.80,101.4,101.6,100.6,100.3,107.6
02/2000,102.24,102.50,124.60,98.00,101.1,101,99.9,100.3,99.8
03/2000,100.63,102.21,126.89,104.00,100.9,100.7,100.4,100.2,102.1
04/2000,100.80,100.72,128.11,105.20,100.8,100.5,100.5,100.1,94.4
05/2000,108.19,100.00,130.87,104.10,100.4,100.4,100.3,100.1,100
06/2000,113.47,101.20,131.60,102.00,100.6,100.3,100.3,100.1,99.9
07/2000,94.48,101.30,133.32,116.20,100.7,100.3,100.2,100.2,104.7
08/2000,80.52,104.60,132.57,102.15,98.9,100,99.8,100,100
09/2000,100.24,103.90,130.82,100.93,101.4,100.1,100.7,102.5,99.9
10/2000,99.62,103.10,125.86,98.20,100.8,100.4,100.5,103.3,100
11/2000,107.39,97.70,121.70,90.57,100.3,100.2,100.4,100.5,99.9
12/2000,105.59,95.80,118.30,105.40,101,100.2,100.2,100,99.9
01/2001,103.99,96.01,112.69,99.90,100.6,100.1,99.9,100.2,100.1
02/2001,100.72,92.10,110.23,99.10,99.8,100.6,99.5,100.3,97.1
03/2001,98.41,94.80,105.95,108.30,100.5,100.7,99.8,100.1,100
04/2001,99.43,114.50,103.07,103.92,101.5,100.6,100.1,100,100
05/2001,98.38,101.04,101.06,93.20,101.6,100.4,100.3,100.1,108
06/2001,99.08,98.00,99.79,102.14,99.5,100.2,100.1,100,100
07/2001,94.39,100.10,98.48,103.40,97.6,100.2,99.9,99.9,100
08/2001,92.58,103.00,97.08,104.40,98.7,100.5,99.5,100,100
09/2001,100.68,100.60,96.03,102.30,100.7,100.7,100.1,101.4,96.4
10/2001,100.49,99.40,95.67,100.00,100.6,100.4,100.4,102.5,100
11/2001,94.29,96.95,96.10,96.40,100.2,100.2,100.3,100.2,100
12/2001,102.06,101.80,96.78,98.70,100.6,100.2,100.1,100,100
01/2002,100.44,99.90,98.60,90.60,101.2,100.2,99.6,100.2,100.1
02/2002,101.32,99.90,96.94,96.50,100.1,100.2,99.2,100.1,100
03/2002,99.86,99.50,96.80,101.60,100.4,100.4,99.7,100.1,100
04/2002,99.13,99.20,95.39,94.75,100.5,100.4,100.1,100,100
05/2002,97.95,96.00,90.79,93.20,99.1,100.2,100,100,100
06/2002,99.45,97.60,90.60,96.40,98.6,100.2,99.9,100,100
07/2002,93.22,100.00,89.19,107.70,97.1,100.1,99.8,100,100
08/2002,99.01,100.00,90.01,98.91,98.6,100,99.5,100,100
09/2002,99.84,99.80,89.24,95.50,100.8,99.8,100,100.3,100
10/2002,100.75,97.50,90.65,95.38,101,96.8,100.5,101.5,100
11/2002,97.64,100.00,89.61,97.80,99.7,99,100.2,100.2,100
12/2002,102.04,104.20,90.17,100.62,100.3,99.6,100,100,100
01/2003,101.10,96.40,91.10,89.70,100.4,99.8,99.4,100.1,100
02/2003,102.50,101.10,91.90,103.40,99.8,100,98.8,100.1,100
03/2003,101.60,99.10,93.10,100.60,100.3,100.1,99.5,100,100
04/2003,104.50,101.70,94.80,103.10,100.6,100.3,100,100,100
05/2003,108.40,95.70,98.70,98.20,100.4,100.2,100,100,100
06/2003,103.70,99.50,98.80,103.40,100,100.2,100,100,100
07/2003,89.70,97.10,100.50,110.90,98.1,100.2,99.6,100,100
08/2003,90.90,101.30,100.90,101.00,98.2,100.6,99.3,100,100
09/2003,101.60,99.50,103.40,105.10,101.5,100.4,99.8,100.2,100
10/2003,100.70,101.60,104.00,87.20,101.5,100.1,100.2,101.5,100
11/2003,122.80,98.70,108.50,95.50,100.8,100.1,100.2,100.1,100
12/2003,114.70,104.20,107.80,99.10,100.5,100,100,100,100
01/2004,109.50,100.20,107.50,98.70,100.5,100.1,99.2,100.1,100
02/2004,102.40,104.30,108.90,106.90,100.3,100.1,98.6,100.1,100
03/2004,98.60,103.90,109.40,117.00,100.8,100.1,99.5,100.1,99.8
04/2004,99.70,103.30,112.40,104.50,102.1,100.6,100,100.1,100
05/2004,101.40,114.10,118.70,102.20,100.6,100.5,100.4,100.1,99.9
06/2004,98.90,119.90,124.30,113.40,102.7,100.2,100,100,100
07/2004,88.90,97.30,129.00,99.70,99.2,100.4,99.4,100,100
08/2004,68.60,97.50,130.50,101.30,98.4,100.3,99.1,100,100
09/2004,100.10,101.50,129.00,106.40,100.4,100.2,99.9,100.4,100
10/2004,100.50,98.60,128.00,94.00,101.1,100.1,100.3,103.2,100
11/2004,98.00,99.20,123.90,97.80,100.8,100,100.1,100.1,100
12/2004,99.80,100.10,123.80,96.90,100.6,100,99.9,100,100
01/2005,98.90,101.00,122.30,87.50,99.8,100.1,98.2,100.1,100
02/2005,98.50,106.30,120.60,102.30,99.7,100.1,98.5,100,100
03/2005,97.60,102.60,119.00,100.00,100.2,100.3,99.4,100.1,100.3
04/2005,96.60,100.40,115.60,91.20,100.5,100.5,99.9,100.1,100
05/2005,99.80,100.10,110.80,99.30,100.9,100.6,100,100,100
06/2005,96.00,102.20,108.00,102.90,98.8,100.5,99.9,100,99.9
07/2005,102.30,98.90,104.20,108.20,98.3,100.3,99.4,100,100
08/2005,92.00,98.90,102.20,105.20,99.4,100.2,98.8,100,100
09/2005,103.20,98.10,101.40,98.60,100.6,100.2,99.6,100.5,100.1
10/2005,100.30,95.80,99.70,94.30,100.9,100.1,100.3,100.8,100
11/2005,100.60,98.90,98.40,92.40,99.7,100,100,100.1,99.4
12/2005,100.40,99.40,98.60,100.10,100,100,99.9,100,99.9
01/2006,104.10,101.70,97.90,94.50,100.3,100.1,98.1,100.2,100
02/2006,102.70,104.80,99.10,95.20,100.3,99.9,98,100,100
03/2006,101.30,101.40,99.10,104.70,99.8,99.9,99.3,100,100
04/2006,101.40,100.30,100.30,98.50,100.7,100,99.9,100,100
05/2006,103.60,99.60,100.50,100.10,101.3,100.2,99.9,100,100
06/2006,102.00,101.30,100.20,106.40,98.9,100.3,99.8,100.1,100
07/2006,97.40,97.00,100.20,110.30,98.5,100.3,99.2,100,101.9
08/2006,106.60,99.00,101.00,109.00,100.7,100.4,98.5,100,100.1
09/2006,113.50,102.10,101.10,96.40,100.6,100.2,99.8,100.3,100
10/2006,102.00,97.60,101.10,91.00,100.8,100.1,100.1,100.3,99.9
11/2006,106.40,97.10,100.40,91.60,100.2,100.1,100,100.1,99.7
12/2006,106.90,101.80,101.50,95.80,99.7,100.1,99.8,100,100.1
01/2007,110.10,101.90,101.20,96.10,101.1,100.1,97.7,100.2,99.9
02/2007,102.60,103.00,101.80,103.10,100.7,100.1,98.3,100,100
03/2007,98.10,99.20,103.80,100.90,100.8,100,99.3,100,100
04/2007,97.70,98.30,104.80,100.90,100.9,100.1,99.9,100,100
05/2007,98.50,96.10,107.60,97.10,101.2,100.3,100,100,100
06/2007,95.30,99.40,109.30,109.00,99,100.9,99.9,100,100
07/2007,94.90,99.30,113.30,112.60,98.4,101.4,98.8,100.3,100
08/2007,122.80,103.20,117.40,103.00,99.4,101.1,98.8,100,98.1
09/2007,123.40,102.00,125.70,99.70,102.4,100.6,99.9,100.7,100
10/2007,98.60,96.70,130.50,88.50,101.7,100.3,100.2,101.1,100
11/2007,96.80,96.70,137.20,91.10,101.5,100.2,100.2,100.1,100
12/2007,100.60,102.30,134.40,102.60,100.3,100.3,99.8,100,100.3
01/2008,107.10,101.90,129.20,103.90,101.1,100.3,96.8,100.6,100.5
02/2008,102.10,101.20,124.10,93.80,100.2,100.2,98.4,100.2,99.8
03/2008,103.40,100.10,118.90,110.50,100.4,100.2,101,100.1,100
04/2008,101.30,100.30,112.80,100.40,100.7,100.2,99.9,100.1,100
05/2008,93.80,100.80,106.50,110.70,101.2,100.4,99.9,100,100
06/2008,93.00,102.60,102.40,107.20,99.4,100.7,99.7,100.1,100.4
07/2008,85.80,96.40,95.70,103.50,98.9,101.1,98.3,100.1,100.1
08/2008,83.20,101.70,89.50,101.10,98.4,101.8,98.2,100.4,99.7
09/2008,90.20,100.40,81.40,102.80,100.6,101.2,101.4,101.4,100
10/2008,90.30,98.50,74.70,93.20,100.8,100.7,100.3,101.1,100
11/2008,98.50,100.70,69.50,99.00,100.7,100.7,99.9,100.1,99.9
12/2008,102.30,101.00,67.30,105.20,100.8,100.4,99.4,100.1,99.9
01/2009,101.50,103.00,70.60,98.30,101.1,100.5,96.5,100.4,100
02/2009,110.70,106.80,72.00,100.60,100.6,100.7,98.2,100.1,100
03/2009,97.90,104.00,74.60,107.40,101.9,101,100.3,100.2,100
04/2009,96.70,101.50,79.10,102.00,101.6,100.8,99.9,100.1,100
05/2009,101.60,96.70,82.70,98.60,100.7,100.5,100,100,100
06/2009,105.90,105.50,84.80,105.20,98.9,100.9,99.5,99.6,100
07/2009,97.10,97.70,87.90,100.40,98.8,102.7,98.3,100,100
08/2009,86.30,95.30,90.20,96.90,98.7,100.1,98.3,100.1,100
09/2009,102.40,100.60,93.90,94.80,99.8,100.3,101.7,101.1,100
10/2009,98.70,98.10,101.20,90.50,100.3,100.2,101.7,101,99.9
11/2009,100.90,99.90,110.10,98.30,100.7,100.1,100,100.1,99.6
12/2009,102.40,103.20,117.90,93.50,100.5,100,99.4,100,99
01/2010,105.00,105.90,116.30,95.80,100.9,100.1,97.7,100.2,100.6
02/2010,96.70,99.00,117.70,97.40,100.3,100.6,98.4,100,99.6
03/2010,94.90,93.30,117.30,102.60,100.3,101.3,100.6,100.1,99.8
04/2010,98.70,100.10,115.20,96.00,100.7,100.4,100.5,100,100
05/2010,105.30,96.20,116.40,105.70,100.7,100.3,99.8,100.1,100
06/2010,112.30,100.00,118.10,116.00,100.5,100.1,99.7,100.1,100
07/2010,103.80,98.40,119.60,98.80,98.9,100.1,98.7,100,100
08/2010,117.80,102.10,121.20,103.40,98.6,100.1,98,100,100
09/2010,106.30,101.80,121.60,94.80,101.8,100,102.6,101,100
10/2010,100.40,101.50,121.60,91.10,101,100.2,101.7,100.6,99.9
11/2010,102.60,108.30,115.90,98.50,100.2,100.6,100,100.1,100
12/2010,110.00,104.80,112.80,102.30,100,100.3,99.8,100.1,100
01/2011,114.00,101.50,112.40,95.30,101.8,100.7,96.8,100.3,99.5
02/2011,105.20,101.80,113.60,106.50,100.7,100.3,97.7,100.1,100
03/2011,97.80,107.10,117.40,107.00,102.1,100.2,103.1,100.1,100
04/2011,103.70,100.80,119.20,105.90,100.8,100,101.2,100.1,100.1
05/2011,104.60,100.80,117.80,98.60,101.3,100.5,101.9,100.1,98.8
06/2011,99.80,97.50,116.90,103.60,98.2,100.6,99.6,99.9,98.3
07/2011,87.00,97.70,116.30,104.30,98.3,100.4,97.7,100.3,99.5
08/2011,87.60,106.40,116.00,99.80,98.6,100.2,97.2,100,104.8
09/2011,101.70,101.50,113.70,105.20,99.8,100.1,100.6,103.5,100
10/2011,98.20,100.70,110.10,101.40,101,100.1,103.1,100.4,100.3
11/2011,99.20,101.80,110.20,102.50,101.2,100.2,100,100.1,99.7
12/2011,101.60,103.90,109.30,107.10,100.8,100,99.3,100,100
01/2012,103.10,103.80,110.50,93.10,101.6,100.7,96.8,100.4,100
02/2012,101.50,99.80,109.20,102.90,100.7,101.3,97.9,100.1,100.1
03/2012,101.00,97.40,105.50,97.30,101.2,100.5,100.5,100,100
04/2012,111.90,98.60,99.10,101.80,100.2,100.2,103.1,100,100
05/2012,103.90,99.70,97.90,101.40,100.8,100.2,99.8,100.1,100
06/2012,97.20,101.80,95.50,104.90,100.7,100.1,99.1,99.8,100
07/2012,100.20,100.40,94.80,98.50,98,100.2,97.6,100.1,100
08/2012,98.80,102.60,93.80,102.70,98.9,100.1,97.2,100.1,100
09/2012,102.00,100.00,118.10,103.90,99.9,100.1,100.6,101.3,100
10/2012,101.10,97.70,95.70,100.30,100.6,100.1,103.5,100.5,100
11/2012,104.90,101.30,95.90,96.50,100.5,100.2,99.9,100.1,100
12/2012,104.70,100.50,97.20,93.80,100.8,99.9,99.4,100,100
01/2013,100.80,99.70,97.30,95.60,101.3,100.4,96.5,100.3,98.5
02/2013,99.60,100.80,97.50,101.10,99.8,101.3,97.8,100,97
03/2013,95.90,96.30,99.10,103.30,100.1,100.8,100.4,100.1,97.1
04/2013,99.30,100.10,105.80,98.90,100.4,100.1,103.3,100,100
05/2013,98.20,97.00,107.90,97.40,100.7,100.2,100.1,100,97.4
06/2013,93.90,99.90,111.90,107.60,99.7,100.2,99.2,99.8,100
07/2013,89.90,97.80,114.80,104.40,99.7,100.1,97.3,100.1,100
08/2013,80.50,99.60,117.80,103.00,98.8,100.2,97.3,100.1,100
09/2013,108.60,101.50,120.10,99.80,100,100.2,100.7,93.1,100
10/2013,104.20,99.90,121.40,96.20,99.9,100.1,103.5,100.4,102.8
11/2013,101.10,98.90,123.30,95.50,100.2,100.1,99.8,100.1,95.1
12/2013,102.50,101.00,122.40,96.50,100.7,100,99.4,100,100
01/2014,99.60,101.30,124.40,95.80,101.5,100.8,96.3,100,99.7
02/2014,97.90,99.10,122.60,91.00,99.8,101.4,98.3,100,100.3
03/2014,101.80,98.00,119.90,102.80,99.7,100.7,100.8,100,100.6
04/2014,103.20,101.90,115.10,106.10,99.5,100.3,102.8,100,98.5
05/2014,100.00,98.90,111.30,100.00,99.6,100.2,99.9,100,99.9
06/2014,96.40,99.10,106.50,105.90,99.7,100.1,99.2,100.1,102.4
07/2014,88.10,98.30,103.20,100.30,98.9,100,97.2,100.2,101.2
08/2014,96.60,101.70,96.40,97.40,98.4,100,97.3,100.1,101.3
09/2014,99.80,97.70,97.30,95.20,100.1,100,101.1,100.2,100
10/2014,97.80,96.00,87.00,93.20,99.8,100,103.4,100.6,99.7
11/2014,103.60,100.60,83.00,95.70,99.9,100.1,99.8,100,99.3
12/2014,104.20,101.70,80.20,94.20,100,99.9,98.9,100,100
01/2015,105.60,104.20,79.50,97.40,100.8,100.1,96.4,100.1,100
02/2015,99.60,102.20,79.60,109.80,100,100.6,98.1,100,100
03/2015,98.10,100.40,80.50,98.50,99.9,100.2,100.8,100,100.2
04/2015,98.30,98.80,80.00,100.50,100.6,100,103.1,100,100.8
05/2015,94.90,100.90,80.40,96.20,99.8,100,100,100,99.6
06/2015,100.60,101.50,81.30,104.60,100.1,100.1,99.2,99.9,99.3
07/2015,102.40,93.40,81.00,99.60,98.9,100,97.5,100.1,101.6
08/2015,96.90,100.80,84.10,99.30,99.3,100,97.6,100,100
09/2015,101.50,99.50,87.30,105.30,100.6,100,100.9,100.5,99.8
10/2015,100.80,101.30,90.10,95.10,100.4,100,103.3,100.3,99.7
11/2015,101.70,103.40,90.90,88.30,99.7,100,99.7,100,99.9
12/2015,100.90,100.90,91.40,99.20,99.9,100,99,100,100
01/2016,98.60,99.00,91.50,103.30,101,100.1,96.4,100,100.1
02/2016,96.00,97.70,90.70,103.40,100.3,100.3,98.2,100,100.1
03/2016,98.20,92.21,87.50,102.50,100.4,99.9,101.8,100,99.9
04/2016,98.90,108.00,87.90,97.70,100.3,100.2,102.7,100,99.4
05/2016,100.30,102.70,89.00,109.60,99.9,100.1,99.5,100,100
06/2016,101.30,100.20,90.60,108.90,100.2,100.1,99.4,99.9,99.7
07/2016,97.70,97.60,93.40,108.30,99,100,96.9,100,100
08/2016,96.20,101.90,97.30,100.10,99.5,100,97.5,100.1,100.1
09/2016,102.80,100.00,102.80,99.70,99.8,100,100.9,100.6,100
10/2016,99.70,96.50,107.40,94.80,100.5,100.2,103.6,100,100
11/2016,100.80,101.30,114.60,97.80,100.4,100.1,99.7,100,100
12/2016,103.90,104.80,120.40,102.50,101.2,100,98.9,100,100
01/2017,102.80,101.30,118.10,97.60,101.8,100.1,95.7,100.1,99.7
02/2017,100.80,98.20,121.00,98.50,101,100.5,98.2,100,99.9
03/2017,103.90,99.90,124.20,103.20,99.6,100.1,101.8,100,100
04/2017,99.90,100.80,127.40,108.10,100,99.6,103,100,100
05/2017,103.30,100.50,131.40,102.50,100.8,100.2,99.7,100,102.4
06/2017,100.00,99.20,133.00,101.50,100.1,99.9,99,99.9,99.6
07/2017,97.50,99.40,133.30,94.20,99.8,100.2,96.6,100.1,100.1
08/2017,92.00,102.90,133.20,100.20,99.4,99.9,97.5,100.1,99.5
09/2017,101.40,99.10,129.60,99.80,100.4,100.4,102.1,100.9,100.5
10/2017,100.50,102.20,123.40,91.60,100.9,99.8,103.5,100.5,99.9
11/2017,101.40,101.20,116.60,96.00,101,100.2,99.7,100.1,99.8
12/2017,102.40,102.30,112.20,98.10,100.5,99.9,98.6,100,100
01/2018,99.60,98.50,107.60,93.50,101.2,100.5,96.1,100.3,100.2
02/2018,98.80,98.40,102.00,104.00,99.6,100.2,98.5,100.1,98.6
03/2018,101.00,98.00,102.10,104.40,99.9,100.1,102.3,100.1,100
04/2018,99.10,103.70,100.90,97.40,100.4,100.3,102.9,100,99.4
05/2018,101.50,100.70,98.20,98.60,99.7,100.2,99.6,100.1,100.3
06/2018,102.00,98.00,96.60,104.30,99.8,100.1,98.6,100,99.9
07/2018,101.10,98.90,95.80,101.00,99.3,100.3,96.5,100,100
08/2018,108.50,101.50,92.90,102.80,99.3,99.9,98.3,100.1,100.4
09/2018,106.50,99.40,91.60,97.40,100.6,100.2,102.4,101.4,97.7
10/2018,101.20,100.40,92.40,93.90,100.4,99.7,103.9,100.6,99.9
11/2018,101.50,100.00,92.70,95.80,100,100.4,99.9,100.3,97.4
12/2018,101.00,100.50,91.90,99.40,100.7,99.6,98.6,100,99.9
01/2019,100.20,100.90,99.10,96.90,101.1,100.4,95.8,100.3,101.8
02/2019,100.60,96.90,102.10,102.50,100.9,100.2,98.3,100.1,100.9
03/2019,98.90,102.10,102.70,107.50,100.4,100.2,103.2,100.1,99.9
04/2019,96.50,99.30,102.80,127.80,101,99.9,103.1,100,100
05/2019,98.80,100.50,104.20,102.10,101.4,100.5,99.9,100,99.6
06/2019,96.50,92.90,102.80,99.00,100.3,100.1,98.8,100.1,101.1
07/2019,88.60,102.70,100.70,97.70,100.3,100,96.5,100.1,100.4
08/2019,98.20,98.10,100.60,103.20,99.7335787322872,99.9781995931046,98.4728696157331,100.005994241069,100.8
09/2019,99.40,98.40,98.90,102.10,99.8,100,102.6,102.6,99.3
10/2019,100.60,100.70,96.90,99.20,100.3,100,103.5,100.9,100
11/2019,102.80,104.70,98.60,99.80,100.3,100.4,99.8,100.3,100
12/2019,101.50,100.20,99.70,106.50,101.2,99.9,99.2,100,100.4
01/2020,104.10,101.30,97.50,95.40,101.9,101.4,95.5,100.5,99.7
02/2020,102.10,100.80,99.50,105.10,100.8,101.7,98.8,100.3,100.8
03/2020,100.70,96.30,99.30,100.20,100.8,100.4,102.5,100.1,100.4
04/2020,107.90,97.90,97.80,96.80,100.3,100.5,101.4,100,100.3
05/2020,101.80,101.70,97.20,87.40,100.2,100.1,99.1,99.8,100
06/2020,99.60,100.70,98.90,104.80,99.9,100.2,99.8,100.9,101.7
07/2020,88.10,100.30,100.40,90.40,98.6,100.2,97.7,100.2,100.6
08/2020,95.50,97.70,102.00,99.90,98.9,100,98.5,100.1,100.2
09/2020,104.40,104.20,105.30,94.30,99.6,99.9,102.6,102.6,101.3
10/2020,107.10,100.70,108.80,95.10,99.9,100,103,100.9,99.1
11/2020,107.70,99.30,108.50,92.70,99.9315706464082,99.9651218861075,98.7516943783419,100.207246790042,100.959442028524
12/2020,102.20,103.70,109.40,94.50,100,99.9,98.5,100,99.4
